mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.12500429153442383,2.620508338950927e-05,0.0,0.0,0.01,128,0.7,"{'learning_rate': 0.01, 'n_estimators': 128, 'subsample': 0.7}",0.7600377942383022,0.6590975717442953,0.7818127101591257,0.7336493587139077,0.053460349457091966,65
0.13570173581441244,0.0069579956953110395,0.0,0.0,0.01,128,0.75,"{'learning_rate': 0.01, 'n_estimators': 128, 'subsample': 0.75}",0.7676649355208565,0.6735068416537917,0.7866020642656056,0.7425912804800846,0.049458052780321865,64
0.12503536542256674,3.589095003593407e-05,0.0,0.0,0.01,128,0.8,"{'learning_rate': 0.01, 'n_estimators': 128, 'subsample': 0.8}",0.7763146256582257,0.6819521541566034,0.7958609300664432,0.7513759032937575,0.04973434234140798,61
0.13540450731913248,0.014719253138109534,0.0,0.0,0.01,128,0.85,"{'learning_rate': 0.01, 'n_estimators': 128, 'subsample': 0.85}",0.7668286150840591,0.6658016513637041,0.8008938241620863,0.7445080302032832,0.057365089092652484,63
0.13572613398234049,0.007550471042421734,0.0,0.0,0.01,128,0.9,"{'learning_rate': 0.01, 'n_estimators': 128, 'subsample': 0.9}",0.7878189074394636,0.6644831727972145,0.7994822910135757,0.7505947904167513,0.06107599990115706,62
0.26048803329467773,0.026561250152848725,0.0,0.0,0.01,256,0.6,"{'learning_rate': 0.01, 'n_estimators': 256, 'subsample': 0.6}",0.8873153885863274,0.7559175485280406,0.8994214065673288,0.847551447893899,0.06498316475612881,47
0.32290029525756836,0.007388481172852269,0.005209207534790039,0.00736693194491619,0.01,256,0.7,"{'learning_rate': 0.01, 'n_estimators': 256, 'subsample': 0.7}",0.8969504706441902,0.7669801595886879,0.9088226472286405,0.8575844258205061,0.06424996466285797,40
0.32820582389831543,0.012702515450148558,0.0,0.0,0.01,256,0.75,"{'learning_rate': 0.01, 'n_estimators': 256, 'subsample': 0.75}",0.8977740296145685,0.7523837772657977,0.9055124506491004,0.8518900858431554,0.07043247297966179,45
0.3282715479532878,0.00017431559727460936,0.0,0.0,0.01,256,0.8,"{'learning_rate': 0.01, 'n_estimators': 256, 'subsample': 0.8}",0.903268623328126,0.759863498757652,0.9081245033422966,0.8570855418093583,0.06877494279187665,41
0.3233226140340169,0.006954308951339307,0.005207459131876628,0.00736445932980355,0.01,256,0.85,"{'learning_rate': 0.01, 'n_estimators': 256, 'subsample': 0.85}",0.910562010859296,0.7573220118558418,0.8998390741060408,0.8559076989403929,0.06984792345566829,43
0.32298747698465985,0.007296259136145816,0.005208889643351237,0.007366482378532073,0.01,256,0.9,"{'learning_rate': 0.01, 'n_estimators': 256, 'subsample': 0.9}",0.9168223549607254,0.7538917452800855,0.9068551866633914,0.8591897623014008,0.07456804678695714,37
